S_ID,Department
e4b9262968183a0a02b9ec7e6db537bc,6204
e7e1037201a034a9f6cd9899bd4b2dcd,6204
f3ce4bf35d230ba5e4cb91676d329240,6204
507d7771cd3acde047d463d246723127,6204
008c69d812e0d39a9ec3b93a49038cb6,6404
03fa2bf7c9f26265c7fae625743453ff,6204
3c822473686e7c068c1f062a8f2e9f02,6204
4509629d7a95fba5fe723c6a764173cf,6204
4a45bb4dd6b8dfa822f8d8aa62ac84ef,6204
51bb3f42b059b35c896d68c28ef1e119,6204
592c705d06e80ba55e5b1496edcb0202,6204
87d0c42a614e9bb8fc8db218371016fc,6204
8efcb62db6c41a550cffd12b59dddbe4,6204
95edeba6ee5b4c66416d087bd7126b14,6204
9a3c9faf89bfd3a2398d177fbfb639ad,6204
a9d2166b68b89228b431e016e7c9f94d,6204
b296dd827302b1960293a34e7adb3c04,6204
cabdf9eb39d644a8e22d2420f77ea7b4,6404
d900f033ce4d35e664b06657755c64d7,6404
df8a75162073b0753487de9692fa31ad,6204
e43bad3933edacb22821104e078d582f,6204
fb33a3fc24db43dca6e609d1c5b71568,6204
60686fc5e70ed0adeb73af8252b011a1,6404
2b47fa8415fdf972d8bd2c8f43606127,3202
2c8b6bcac7cd1ecf56a56aa0f0a80432,3202
3c5d9fe485439d0b6b59bfa1f3965833,3202
439b6c0c63cb0948a0229b3d8c30f114,3002
4a120a42267e1865596a5598cd6567d4,6002
4e828e1eb2cd64322770c000008ed49d,3202
5877225e9804d5d3147e25c8bb87d8e8,3202
635f22f7ac9105fa8313a9a262cb45a8,3202
6959b02c84d6404eb48ff8f1284d1a14,3202
6e1d4556d26cfa5cc537526c3d25aa0b,3202
7086bbab04585383d1644c632e14e005,6202
71444a2d85158223014143988738e7fe,3202
8b98bdbffcb99feab64c8ea0731fb78d,3202
9b55258f8a944e9067cb7f0a3f6320d1,3202
9fed481d3b001f631618fce02d91692f,3202
ac02cc7e4f748abbec58b41badafc216,3202
b577c61801485e682ba07a770d9b3386,6002
c9b00bc70f6fc436c1d2b292de1e6e6b,3202
fd452c83d0ffc629bc03eb9b7529e2d2,3402
7ce4a850d9861af4175db70f49ea317f,6206
1da2953bcf95cf46975a9139eff96dfb,3202
3d3261277ceaa2d58126108f9a66c9cf,3202
